req 1    MISS    48.63 ms
req 2    HIT      0.34 ms
req 3    HIT      0.39 ms
req 4    HIT      0.19 ms
req 5    HIT      0.29 ms
req 6    HIT      0.35 ms
req 7    HIT      0.31 ms
req 8    HIT      0.37 ms
req 9    HIT      0.19 ms
req 10   HIT      0.30 ms
req 11   HIT      0.17 ms
req 12   HIT      0.21 ms
req 13   HIT      0.48 ms
req 14   HIT      0.37 ms
req 15   HIT      0.42 ms
req 16   HIT      0.42 ms
req 17   HIT      0.41 ms
req 18   HIT      0.45 ms
req 19   HIT      0.51 ms
req 20   HIT      0.60 ms
req 21   HIT      0.41 ms
req 22   HIT      0.45 ms
req 23   HIT      0.41 ms
req 24   HIT      0.68 ms
req 25   HIT      0.51 ms
req 26   HIT      0.43 ms
req 27   HIT      0.44 ms
req 28   HIT      0.38 ms
req 29   HIT      0.46 ms
req 30   HIT      0.45 ms
